mes	ano	temp
9	2012	25,490667
10	2012	26,13871
11	2012	27,016
12	2012	27,433548
1	2013	27,751613
2	2013	27,933571
3	2013	28,035484
4	2013	27,766667
5	2013	26,820645
6	2013	25,785333
7	2013	24,831613
8	2013	25,189032
9	2013	25,702
10	2013	26,71871
11	2013	26,576667
12	2013	27,274839
1	2014	27,087097
2	2014	27,291429
3	2014	27,430323
4	2014	27,605333
5	2014	26,566452
6	2014	25,742
7	2014	24,936129
8	2014	25,13871
9	2014	25,700667
10	2014	26,424516
11	2014	26,905333
12	2014	27,25871
1	2015	27,42
2	2015	27,778571
3	2015	27,110323
4	2015	27,662667
5	2015	27,477419
6	2015	25,936
7	2015	25,370968
8	2015	25,64
9	2015	26,44
10	2015	26,812258
11	2015	27,338667
12	2015	27,526452
1	2016	27,427742
2	2016	27,785517
3	2016	27,732258
4	2016	27,822
5	2016	27,28129
6	2016	26,695333
7	2016	26,076129
8	2016	26,342581
9	2016	26,817333
10	2016	27,286452
11	2016	27,966667
12	2016	28,083226
1	2017	28,032903
2	2017	28,210714
3	2017	28,217419
4	2017	27,918667
5	2017	27,290323
6	2017	26,321333
7	2017	24,708387
8	2017	25,672903
9	2017	25,685333
10	2017	26,448387
11	2017	27,248667
12	2017	27,5864
